pump_idx,equipment_id,check_item_id,u_mean,u_lower,u_upper,rank,significant,u_group
55,327856,0.0,6.470775262979207,5.82440544155552,7.138491290324067,1,True,top30
54,327855,0.0,6.470537773952948,5.826208382636086,7.132616369722402,2,True,top30
14,265715,0.0,5.939655228709766,5.304487691971601,6.5967356789721165,3,True,top30
50,327851,0.0,5.183441087542001,4.445555453533862,5.943505733396052,4,True,top30
79,327881,0.0,4.710189052960494,4.071580608978993,5.3625635999015655,5,True,top30
111,519177,0.0,4.036485688260799,2.8374399613703787,5.123956894327239,6,True,top30
27,315215,0.0,3.895268913951897,1.2113620252906767,6.819630710039784,7,True,top30
98,386665,0.0,3.8642546202791928,3.237162419260925,4.506828194883981,8,True,top30
97,386664,0.0,3.632817202997152,2.9987607644511423,4.280779614401839,9,True,top30
16,265769,0.0,3.630560181143396,2.999612640530178,4.274222967944196,10,True,top30
96,386663,0.0,3.353649535341328,2.7304913474466983,3.991694743778108,11,True,top30
23,315153,0.0,3.325664435186336,2.6990739097237277,3.965885848774273,12,True,top30
24,315210,0.0,3.3236853382843945,2.3236829990197445,4.258439515806755,13,True,top30
49,327280,0.0,3.3230675172748607,2.6967636620154747,3.968089993445399,14,True,top30
39,322220,0.0,3.2855852423955367,2.6651251832203773,3.920240129646362,15,True,top30
34,322034,0.0,3.2754012347392907,2.646502821583217,3.911791845617653,16,True,top30
80,327882,0.0,3.2743326255491105,2.6192677321455955,3.936346631474168,17,True,top30
42,327241,0.0,3.2404748146676763,2.5992994396920204,3.895025650095892,18,True,top30
43,327242,0.0,3.22158592690446,2.5904428465076466,3.870184317203783,19,True,top30
41,327240,0.0,3.1992545316021097,2.5585295474031584,3.849886938754892,20,True,top30
20,267651,0.0,3.1776126328647134,2.5266260025039355,3.834430650268728,21,True,top30
38,322219,0.0,3.1194253876969635,2.497715082486106,3.7510735921029776,22,True,top30
3,265696,0.0,3.103396876581085,2.4870373951497577,3.732997318054931,23,True,top30
4,265697,0.0,3.090886185859013,2.4802225532992788,3.724495145423987,24,True,top30
35,322196,0.0,3.076329068041681,2.4469782462973475,3.7128805042345374,25,True,top30
105,409053,0.0,3.070843731935749,2.409529182118248,3.735502803803293,26,True,top30
40,327239,0.0,3.058846856365627,2.405451526213731,3.7211052735569607,27,True,top30
45,327244,0.0,3.00638707698985,2.3663884431418274,3.655245438563957,28,True,top30
48,327279,0.0,2.9707657463888384,2.340621825932822,3.617488170170017,29,True,top30
5,265698,0.0,2.943931318779904,2.3150489321344825,3.5760886706935544,30,True,top30
1,265694,0.0,2.8271780674418374,2.2052778236907526,3.4634914978972384,31,True,top30
44,327243,0.0,2.775005028058841,2.151480565301903,3.4161855021559613,32,True,top30
0,265693,0.0,2.7568472438171283,2.1453300269675006,3.3911881514136653,33,True,top30
37,322212,0.0,2.6919237384654275,2.0510011253787948,3.3512557824590328,34,True,top30
33,317143,0.0,2.632283713489613,1.9288627713013664,3.347508821389047,35,True,middle
104,409052,0.0,2.587313553361517,1.9179381580347683,3.256840668224977,36,True,middle
28,315294,0.0,2.456173132151348,1.8077127243986768,3.1089745813814917,37,True,middle
32,317136,0.0,2.3303896812155727,1.6691295144249128,3.0099024369516245,38,True,middle
31,317132,0.0,2.325987452157084,1.6757323308577836,2.9834553888418407,39,True,middle
95,384187,0.0,2.2899127195465274,1.6438596127505294,2.9491601637868,40,True,middle
29,316620,0.0,2.102447012964096,1.4757883479721976,2.750380036019328,41,True,middle
78,327880,0.0,1.603310393020458,0.8447089877298568,2.373486383999197,42,True,middle
36,322203,0.0,1.5502686902333838,0.8219385997480484,2.2724546385950988,43,True,middle
15,265768,0.0,1.547068637308854,0.6092081945778636,2.4253526633314264,44,True,middle
17,265775,0.0,1.479195476242337,0.7515565690583959,2.195229362296223,45,True,middle
19,265777,0.0,1.3976142731600625,0.6873883640999814,2.1063903888744515,46,True,middle
22,270352,0.0,1.195016951726558,0.568597519621047,1.8340179618429424,47,True,middle
21,270330,0.0,1.0833592841720896,0.3930467356901855,1.7697508693136603,48,True,middle
81,327883,0.0,1.0507209762351188,0.264405459549745,1.8272167773546184,49,True,middle
46,327245,0.0,0.9396740447954066,0.1168473756786943,1.7416762762183118,50,True,middle
18,265776,0.0,0.9221402562982736,0.1596327254715819,1.6756848027105664,51,True,middle
94,383650,0.0,0.7511429489101361,-0.1586248105810111,1.6145834658645672,52,False,middle
92,383646,0.0,0.6709447854481748,-0.2193677009908778,1.5418441721371312,53,False,middle
63,327864,0.0,0.6553432927983577,-0.1299582543202507,1.4327418506375824,54,False,middle
67,327869,0.0,0.6527073238104275,-0.1437117979188298,1.4354872394577156,55,False,middle
6,265699,0.0,0.6477243267049713,-0.514774831454497,1.7007804423656945,56,False,middle
2,265695,0.0,0.4249702573369833,-0.2233132484492007,1.078623165690877,57,False,middle
62,327863,0.0,0.4241940530487193,-0.3859311585944533,1.2049489675836142,58,False,middle
30,316621,0.0,0.4067502565935965,-0.5132352366803381,1.2908908268527222,59,False,middle
89,376721,0.0,0.2863620865432403,-0.454381612564716,1.0279208800279045,60,False,middle
47,327246,0.0,0.2628946182765532,-0.6786289655710359,1.1479656256661603,61,False,middle
71,327873,0.0,0.04158467139825,-0.6571448412704998,0.7347043097724409,62,False,middle
102,389359,0.0,-0.0821622936360636,-0.838217469724595,0.6503547065339951,63,False,middle
26,315214,0.0,-0.1425321446995418,-1.6387328764506657,1.0748316845917747,64,False,middle
90,383643,0.0,-0.1752342462192267,-0.931428800592594,0.5832706230330058,65,False,middle
110,519165,0.0,-0.2137946097816399,-6.807962492787317,5.838992299758158,66,False,middle
13,265710,0.0,-0.2704532148436396,-6.742898845499672,5.661690811057677,67,False,middle
103,389360,0.0,-0.2856331709382317,-1.061634503327604,0.4515090469613091,68,False,middle
9,265706,0.0,-0.3023115112508098,-6.76401134462268,5.790935298752714,69,False,middle
11,265708,0.0,-0.3147757364491358,-6.784731583535116,5.7267869917691545,70,False,middle
12,265709,0.0,-0.3165166686502818,-6.94915742555674,5.80164637422879,71,False,middle
10,265707,0.0,-0.3303603463761835,-6.71344293208604,5.631986750501065,72,False,middle
53,327854,0.0,-0.8157799802987677,-2.5989162518914526,0.5909858759196512,73,False,middle
60,327861,0.0,-0.8372655276648565,-1.703924355147204,0.0078882691735974,74,False,middle
25,315212,0.0,-0.9376574241069154,-2.1015002302533805,0.079775964405787,75,False,middle
88,339101,0.0,-1.406758443416091,-3.9147126933836183,0.3680344806688954,76,False,middle
87,338934,0.0,-1.4134588875445977,-4.003173153932608,0.4028521968243695,77,False,middle
52,327853,0.0,-1.5849579850045863,-4.044921077221655,0.1780596493139865,78,False,middle
93,383648,0.0,-1.773364026879639,-3.1874433970720406,-0.5813603292343801,79,True,bottom30
77,327879,0.0,-2.590229229007728,-7.749312453616064,0.8407780948455685,80,False,bottom30
76,327878,0.0,-2.5957845815403093,-7.694320877192132,0.844940181793137,81,False,bottom30
51,327852,0.0,-2.6051226262942166,-7.880946948510763,0.8610976186573601,82,False,bottom30
85,327887,0.0,-2.621326051923253,-7.731750534206319,0.8735578102984475,83,False,bottom30
56,327857,0.0,-2.639383614879246,-7.621023439182315,0.7676395461656269,84,False,bottom30
8,265703,0.0,-2.6562518666285326,-4.3721510386364,-1.3127074350876926,85,True,bottom30
57,327858,0.0,-2.768852555048689,-5.172531191005162,-1.0607339460311709,86,True,bottom30
7,265702,0.0,-3.306884297348383,-5.552398365711976,-1.6328098704575296,87,True,bottom30
86,327888,0.0,-3.57647798360717,-8.244730759477168,-0.4740725899531163,88,True,bottom30
91,383644,0.0,-3.639276600153881,-6.010888674273136,-1.9476600418212788,89,True,bottom30
73,327875,0.0,-3.726054211360724,-5.9845509927170095,-2.0637831493416487,90,True,bottom30
101,386993,0.0,-3.8843937540508575,-8.449546766590974,-0.8565779522559885,91,True,bottom30
75,327877,0.0,-4.591894766103256,-8.831164496102538,-1.8268942320673387,92,True,bottom30
58,327859,0.0,-5.077614698649241,-9.24917992860974,-2.3970537980484123,93,True,bottom30
109,463017,0.0,-5.10172238893546,-9.16105223605247,-2.404438236466292,94,True,bottom30
100,386670,0.0,-5.106497395846072,-9.224344264441442,-2.399022165896868,95,True,bottom30
59,327860,0.0,-5.112911099219136,-9.269130526117584,-2.4178196326731856,96,True,bottom30
69,327871,0.0,-5.143184907058011,-9.222816821162356,-2.5135542034604565,97,True,bottom30
107,426234,0.0,-5.144651888398402,-9.243518598916388,-2.453034691137303,98,True,bottom30
82,327884,0.0,-5.14519837698931,-9.208731247250904,-2.4845971879726783,99,True,bottom30
99,386669,0.0,-5.173528768443854,-9.288967194828375,-2.483399341309431,100,True,bottom30
68,327870,0.0,-5.17869396718744,-9.336143041923016,-2.4731488407098734,101,True,bottom30
74,327876,0.0,-5.18202787243255,-9.223017394173912,-2.482715388848431,102,True,bottom30
66,327867,0.0,-5.28041668916539,-9.258133103388571,-2.6923994711204333,103,True,bottom30
108,426235,0.0,-5.313132280821248,-9.335920058522545,-2.6928748411227685,104,True,bottom30
64,327865,0.0,-5.357954126950866,-9.45192130452341,-2.7596952144071247,105,True,bottom30
84,327886,0.0,-5.368046027524099,-9.408307682777815,-2.7706795656397296,106,True,bottom30
72,327874,0.0,-5.368241969246007,-9.456674194009787,-2.724898845596831,107,True,bottom30
61,327862,0.0,-5.373709591655054,-9.371579467106,-2.763258365317454,108,True,bottom30
106,421465,0.0,-5.48447319560955,-9.468764562556965,-2.9262692921226896,109,True,bottom30
65,327866,0.0,-5.505408639543363,-9.469087209800874,-2.915833730517697,110,True,bottom30
70,327872,0.0,-5.5075071832759885,-9.436713591215517,-2.95297377660229,111,True,bottom30
83,327885,0.0,-5.510874316393269,-9.50737745156091,-2.9278901224566405,112,True,bottom30
