from,to,frequency,mean_effect,abs_mean_effect
rolling_std_30d_mean,trend_slope_90d,0.97,1.8633956327962915,1.8633956327962915
median,mean,1.0,1.7480625268973617,1.7480625268973617
min,std,1.0,1.0700804875284773,1.0700804875284773
min,rolling_std_7d_mean,1.0,-0.9462783606643806,0.9462783606643806
trend_slope_90d,recent_vs_past_diff,1.0,0.9279944468701151,0.9279944468701151
max_drawdown,mean_drawdown,1.0,0.8962354112708557,0.8962354112708557
iqr,std,1.0,0.8704897464079439,0.8704897464079439
recent_change_rate,trend_slope_90d,0.95,0.8342610344835565,0.8342610344835565
diff_mean,trend_slope_90d,1.0,0.8193391605120024,0.8193391605120024
diff_abs_mean,diff_mean,0.97,0.7866465258638448,0.7866465258638448
rolling_std_30d_mean,diff_mean,0.97,-0.7248715184333829,0.7248715184333829
trend_intercept,min,1.0,0.6591923414089532,0.6591923414089532
max,min,1.0,0.6056995215348216,0.6056995215348216
min,iqr,1.0,-0.5350948508549861,0.5350948508549861
rolling_std_14d_mean,rolling_std_30d_mean,0.95,0.5317916517621724,0.5317916517621724
min,diff_mean,0.99,0.5252933009325107,0.5252933009325107
min,trend_slope_90d,0.96,0.4826781408513087,0.4826781408513087
min,diff_abs_mean,1.0,0.449207040754038,0.449207040754038
diff_abs_mean,max_drawdown,1.0,0.41901143254636675,0.41901143254636675
iqr,rolling_std_7d_mean,0.76,-0.38808714497978775,0.38808714497978775
rolling_std_7d_mean,diff_abs_mean,1.0,0.36266368403767674,0.36266368403767674
std,diff_mean,0.97,0.34396547878702416,0.34396547878702416
recent_vs_past_diff,max_drawdown,1.0,0.32653087451726165,0.32653087451726165
std,recent_vs_past_diff,1.0,0.3171230425926807,0.3171230425926807
skewness,kurtosis,1.0,0.3139387818975685,0.3139387818975685
std,trend_slope_90d,0.97,0.30983530426889033,0.30983530426889033
rolling_std_30d_mean,std,0.92,-0.2882270720825127,0.2882270720825127
iqr,diff_mean,0.97,-0.2827288297209586,0.2827288297209586
rolling_std_7d_mean,rolling_std_30d_mean,0.83,0.2613272887587625,0.2613272887587625
iqr,rolling_std_14d_mean,0.76,0.2327296472743913,0.2327296472743913
iqr,rolling_std_30d_mean,0.95,0.21049958487022188,0.21049958487022188
median,min,0.94,-0.20170843067387764,0.20170843067387764
rolling_std_30d_mean,diff_abs_mean,0.97,0.1633183429958186,0.1633183429958186
iqr,trend_slope_90d,0.89,0.15806370150137802,0.15806370150137802
recent_vs_past_diff,mean_drawdown,1.0,-0.14651705709749052,0.14651705709749052
iqr,recent_vs_past_diff,1.0,0.14417696034945604,0.14417696034945604
rolling_std_30d_mean,recent_vs_past_diff,1.0,-0.1293472118886208,0.1293472118886208
min,rolling_std_14d_mean,0.74,-0.11828301654605353,0.11828301654605353
diff_mean,recent_change_rate,0.98,0.10761109919323555,0.10761109919323555
recent_change_rate,max_drawdown,0.71,-0.10627123450038634,0.10627123450038634
std,diff_abs_mean,0.97,0.09701313373515578,0.09701313373515578
diff_mean,recent_vs_past_diff,1.0,0.09340490187797616,0.09340490187797616
iqr,diff_abs_mean,0.96,0.08931440219173124,0.08931440219173124
max,std,1.0,0.0756887914976288,0.0756887914976288
min,mean_drawdown,1.0,0.07380989331884255,0.07380989331884255
rolling_std_14d_mean,diff_abs_mean,1.0,0.06319343625842871,0.06319343625842871
std,recent_change_rate,0.97,-0.059568455845387974,0.059568455845387974
recent_change_rate,recent_vs_past_diff,0.9,-0.05916138119089249,0.05916138119089249
rolling_std_14d_mean,trend_slope_90d,0.89,0.05692011572343586,0.05692011572343586
recent_change_rate,mean_drawdown,0.98,0.05432177129710059,0.05432177129710059
cv_90d,recent_vs_past_ratio,0.82,0.05311898816010145,0.05311898816010145
rolling_std_14d_mean,std,0.88,0.05225599182588644,0.05225599182588644
min,recent_vs_past_diff,0.89,-0.04820625399178657,0.04820625399178657
q25,iqr,1.0,-0.04787914108592932,0.04787914108592932
min,max_drawdown,0.99,-0.04579412912443996,0.04579412912443996
rolling_std_30d_mean,recent_change_rate,0.96,0.040386480120754145,0.040386480120754145
trend_intercept,trend_slope_90d,1.0,-0.03698416752847254,0.03698416752847254
rolling_std_7d_mean,std,0.84,0.03694056575815158,0.03694056575815158
rolling_std_7d_mean,diff_mean,0.85,0.0361064900122663,0.0361064900122663
max,trend_slope_90d,1.0,-0.03541724037781971,0.03541724037781971
iqr,recent_change_rate,0.97,-0.03377036441041405,0.03377036441041405
diff_abs_mean,mean_drawdown,1.0,0.033344798736378065,0.033344798736378065
iqr,max_drawdown,1.0,-0.03160794234272574,0.03160794234272574
q75,iqr,0.98,0.031494776397223624,0.031494776397223624
diff_abs_mean,recent_vs_past_diff,0.99,-0.030703462048454554,0.030703462048454554
trend_slope_90d,mean_drawdown,1.0,0.029811970857241965,0.029811970857241965
max,diff_mean,0.99,0.029145928535076745,0.029145928535076745
std,max_drawdown,1.0,-0.02838037942150029,0.02838037942150029
rolling_std_30d_mean,mean_drawdown,0.98,0.028245660108851104,0.028245660108851104
rolling_std_14d_mean,recent_change_rate,0.99,-0.028194857824547236,0.028194857824547236
max,max_drawdown,1.0,0.023563668404070898,0.023563668404070898
min,recent_change_rate,0.77,-0.0229169260400714,0.0229169260400714
iqr,mean_drawdown,1.0,0.021439342329180055,0.021439342329180055
rolling_std_14d_mean,recent_vs_past_diff,0.84,-0.02008784241385107,0.02008784241385107
trend_slope_90d,max_drawdown,0.97,-0.019311490147902496,0.019311490147902496
skewness,recent_vs_past_ratio,0.82,0.019082186194504323,0.019082186194504323
label_future_90d,recent_vs_past_diff,0.81,0.01841806285194404,0.01841806285194404
rolling_std_7d_mean,max_drawdown,0.95,0.01621127443187835,0.01621127443187835
trend_intercept,std,0.99,0.01533030220813365,0.01533030220813365
trend_intercept,diff_mean,0.86,0.015312141904030572,0.015312141904030572
rolling_std_7d_mean,recent_change_rate,0.92,0.015292233531122683,0.015292233531122683
rolling_std_14d_mean,max_drawdown,0.98,0.014495630386414597,0.014495630386414597
rolling_std_14d_mean,diff_mean,0.92,0.014210297718540219,0.014210297718540219
rolling_std_30d_mean,max_drawdown,0.96,-0.014181212683491918,0.014181212683491918
std,mean_drawdown,0.95,0.01381997432524393,0.01381997432524393
diff_mean,mean_drawdown,0.95,0.012783119096045853,0.012783119096045853
median,iqr,0.73,0.00960695081781652,0.00960695081781652
max,mean_drawdown,1.0,-0.008816106588564614,0.008816106588564614
diff_abs_mean,kurtosis,0.91,-0.008648866575060952,0.008648866575060952
diff_mean,max_drawdown,0.94,-0.008636395656462731,0.008636395656462731
min,label_future_90d,0.8,-0.008029810358047323,0.008029810358047323
diff_abs_mean,label_future_90d,0.8,-0.007543225092615883,0.007543225092615883
trend_intercept,recent_vs_past_diff,1.0,-0.007408938109736367,0.007408938109736367
rolling_std_14d_mean,mean_drawdown,0.96,0.006340136938154254,0.006340136938154254
min,kurtosis,0.97,-0.005937330243097599,0.005937330243097599
max,rolling_std_7d_mean,0.85,-0.005635333438342988,0.005635333438342988
rolling_std_7d_mean,recent_vs_past_diff,0.81,0.00497751201077344,0.00497751201077344
trend_intercept,rolling_std_7d_mean,0.86,0.00494852197810167,0.00494852197810167
median,trend_slope_90d,0.78,-0.004754560582470132,0.004754560582470132
rolling_std_7d_mean,trend_slope_90d,0.93,-0.0041118356765557085,0.0041118356765557085
median,rolling_std_14d_mean,0.81,-0.0034363203619087153,0.0034363203619087153
diff_abs_mean,cv_90d,0.73,0.003183692875400981,0.003183692875400981
rolling_std_7d_mean,mean_drawdown,0.93,0.0028100628484400746,0.0028100628484400746
mean,rolling_std_7d_mean,0.86,0.002676567449163854,0.002676567449163854
trend_intercept,recent_change_rate,0.76,-0.002347290344517262,0.002347290344517262
std,label_future_90d,0.84,-0.0019014292451398056,0.0019014292451398056
rolling_std_30d_mean,kurtosis,0.85,-0.0012604166194574314,0.0012604166194574314
trend_intercept,rolling_std_30d_mean,0.72,-0.0007370271166914188,0.0007370271166914188
mean,max_drawdown,0.73,0.0004950267651725079,0.0004950267651725079
